title,playcount,date,devices,traffic,content
Tokyo 2020: Cycling,88,2021-08-27,Desktop,Direct traffic,PI000017076
Tokyo 2020: Paralympics Live,87,2021-09-04,Smartphone,Direct traffic,IH000403370
Tokyo 2020: Today At The Paralympics,87,2021-09-03,Smartphone,Direct traffic,IH000403383
Tokyo 2020: Today At The Paralympics,86,2021-09-02,Smartphone,Direct traffic,IH000403382
Tokyo 2020: Today At The Paralympics,85,2021-09-03,Tablet,Direct traffic,IH000403383
Tokyo 2020: Table Tennis,85,2021-08-31,Desktop,Direct traffic,PI000017105
Tokyo 2020: Cycling - Road,85,2021-09-02,Desktop,Search engines,PI000017116
Tokyo 2020: Paralympics Live,84,2021-08-27,Smart TV,Direct traffic,IH000403362
Tokyo 2020: Today At The Paralympics,84,2021-08-31,Tablet,Direct traffic,IH000403380
Tokyo 2020: Swimming,83,2021-08-27,Smartphone,Direct traffic,PI000017151
Tokyo 2020: Table Tennis,83,2021-08-25,Smartphone,Direct traffic,PI000017067
Tokyo 2020: Equestrian,83,2021-08-26,Desktop,Direct traffic,PI000017071
Tokyo 2020: Canoe Sprint,82,2021-09-04,Smartphone,Direct traffic,PI000017125
Tokyo 2020: Today At The Paralympics,81,2021-08-29,Smart TV,Direct traffic,IH000403378
Tokyo 2020: Wheelchair Tennis,81,2021-09-04,Smartphone,Direct traffic,PI000017130
Tokyo 2020: Cycling - Road,80,2021-09-03,Tablet,Direct traffic,PI000017122
Tokyo 2020: Paralympics Live,79,2021-08-29,Smartphone,Direct traffic,IH000403364
Tokyo 2020: Table Tennis,79,2021-08-26,Smartphone,Direct traffic,PI000017071
Tokyo 2020: Equestrian,79,2021-08-26,Desktop,Direct traffic,PI000017072
Tokyo 2020: Athletics,79,2021-09-01,Desktop,Direct traffic,PI000017114
Tokyo 2020: Athletics,79,2021-09-04,Desktop,Direct traffic,PI000017179
Tokyo 2020: Swimming,78,2021-08-29,Smartphone,Direct traffic,PI000017088
Tokyo 2020: Cycling,77,2021-08-28,Desktop,Direct traffic,PI000017083
Tokyo 2020,76,2021-09-02,Smartphone,Direct traffic,PI000017119
Tokyo 2020: Paralympics Live,76,2021-08-25,Smartphone,Direct traffic,IH000403360
Tokyo 2020: Paralympics Live,76,2021-08-30,Smartphone,Search engines,IH000403365
Tokyo 2020,75,2021-09-02,Smartphone,Direct traffic,PI000017108
Tokyo 2020: Paralympics Live,75,2021-08-31,Tablet,Direct traffic,IH000403366
Tokyo 2020: Today At The Paralympics,75,2021-08-25,Tablet,Direct traffic,IH000403374
Tokyo 2020: Today At The Paralympics,75,2021-08-29,Desktop,Search engines,IH000403378
Tokyo 2020: Today At The Paralympics,75,2021-08-30,Smart TV,Direct traffic,IH000403379
Tokyo 2020: Equestrian,75,2021-08-26,Desktop,Search engines,PI000017072
Tokyo 2020: Athletics,75,2021-09-04,Smartphone,Search engines,PI000017179
Tokyo 2020: Paralympics Live,74,2021-08-28,Smartphone,Search engines,IH000403363
Tokyo 2020: Today At The Paralympics,74,2021-08-31,Smart TV,Direct traffic,IH000403380
Tokyo 2020: Today At The Paralympics,74,2021-08-31,Desktop,Direct traffic,IH000403380
Tokyo 2020: Athletics,74,2021-09-04,Tablet,Direct traffic,PI000017179
Tokyo 2020: Cycling - Road,74,2021-09-03,Undefined,-,PI000017122
Tokyo 2020: Canoe,74,2021-09-02,Smartphone,Direct traffic,PI000017161
Tokyo 2020,73,2021-09-02,Desktop,Search engines,PI000017119
Tokyo 2020: Swimming,73,2021-08-25,Tablet,Direct traffic,PI000017064
Tokyo 2020: Paralympics Live,72,2021-09-03,Smart TV,Direct traffic,IH000403369
Tokyo 2020: Paralympics Live,72,2021-09-05,Tablet,Direct traffic,IH000403371
Tokyo 2020: Today At The Paralympics,72,2021-08-27,Desktop,Direct traffic,IH000403376
Tokyo 2020: Table Tennis,72,2021-09-01,Desktop,Direct traffic,PI000017111
Tokyo 2020: Equestrian,72,2021-08-30,Desktop,Direct traffic,PI000017100
Tokyo 2020: Athletics,72,2021-09-04,Smartphone,Direct traffic,PI000017127
Tokyo 2020: Triathlon,72,2021-08-27,Tablet,Direct traffic,PI000017080
Tokyo 2020: Paralympics Live,71,2021-08-25,Smartphone,Search engines,IH000403360
Tokyo 2020: Today At The Paralympics,71,2021-08-30,Tablet,Direct traffic,IH000403379
Tokyo 2020: Today At The Paralympics,70,2021-08-25,Tablet,Direct traffic,IH000403374
Tokyo 2020: Swimming,70,2021-08-26,Desktop,Direct traffic,PI000017078
Tokyo 2020: Wheelchair Tennis,70,2021-09-04,Desktop,Search engines,PI000017130
Tokyo 2020,69,2021-09-01,Smartphone,Direct traffic,PI000017113
Tokyo 2020: Today At The Paralympics,69,2021-08-25,Desktop,Direct traffic,IH000403374
Tokyo 2020: Today At The Paralympics,69,2021-08-27,Tablet,Direct traffic,IH000403376
Tokyo 2020: Today At The Paralympics,69,2021-08-28,Desktop,Search engines,IH000403377
