title,playcount,cuml hours spent,date,devices,traffic,content
Tokyo 2020: Table Tennis,139,25.965,2021-08-30,Desktop,Direct traffic,PI000017099
Tokyo 2020: Paralympics Live,139,18.04472222,2021-08-24,Tablet,Direct traffic,IH000403359
Tokyo 2020: Paralympics Live,135,13.71666667,2021-08-28,Smart TV,Direct traffic,IH000403363
Tokyo 2020: Paralympics Live,128,12.05583333,2021-08-29,Smartphone,Search engines,IH000403364
Tokyo 2020: Today At The Paralympics,127,49.47305556,2021-08-30,Smartphone,Direct traffic,IH000403379
Tokyo 2020: Today At The Paralympics,123,37.10472222,2021-08-27,Smart TV,Direct traffic,IH000403376
Tokyo 2020: Equestrian,122,35.74055556,2021-08-27,Smartphone,Direct traffic,PI000017080
Tokyo 2020: Paralympics Live,114,11.41638889,2021-08-26,Smartphone,Search engines,IH000403361
Tokyo 2020: Paralympics Live,112,14.98833333,2021-09-01,Smart TV,Direct traffic,IH000403367
Tokyo 2020: Athletics,109,18.3525,2021-08-30,Desktop,Direct traffic,PI000017095
Tokyo 2020: Paralympics Live,106,0.9322222222,2021-08-30,Smart TV,Direct traffic,IH000403365
Tokyo 2020: Today At The Paralympics,104,26.03638889,2021-08-27,Smartphone,Direct traffic,IH000403376
Tokyo 2020: Swimming,103,13.31777778,2021-08-27,Smartphone,Direct traffic,PI000017078
Tokyo 2020: Paralympics Live,102,6.836111111,2021-09-01,Tablet,Direct traffic,IH000403367
Tokyo 2020: Table Tennis,100,66.91,2021-08-24,Tablet,Direct traffic,PI000017062
Tokyo 2020: Today At The Paralympics,100,18.81888889,2021-08-28,Smart TV,Direct traffic,IH000403377
Tokyo 2020: Athletics,95,11.86527778,2021-08-30,Smartphone,Direct traffic,PI000017095
Tokyo 2020,94,4.234166667,2021-09-04,Smartphone,Direct traffic,PI000017127
Tokyo 2020: Paralympics Live,91,10.86638889,2021-08-24,Smartphone,Direct traffic,IH000403359
Tokyo 2020: Today At The Paralympics,87,3.605277778,2021-08-30,Desktop,Direct traffic,IH000403379
Tokyo 2020: Today At The Paralympics,83,9.426944444,2021-08-25,Desktop,Direct traffic,IH000403374
Tokyo 2020: Swimming,77,7.721111111,2021-08-29,Desktop,Direct traffic,PI000017091
Tokyo 2020: Paralympics Live,76,19.21333333,2021-08-26,Smartphone,Direct traffic,IH000403361
Tokyo 2020: Wheelchair Tennis,75,38.41388889,2021-09-04,Desktop,Direct traffic,PI000017130
Tokyo 2020: Nicole Turner comes home 8th in Paralympic final,73,3.076944444,2021-08-25,Smartphone,Direct traffic,xKmPX6oSTg_d
Tokyo 2020: Today At The Paralympics,73,6.3275,2021-08-26,Tablet,Direct traffic,IH000403375
Tokyo 2020: Swimming,64,0.3536111111,2021-09-01,Desktop,Search engines,PI000017114
Tokyo 2020: Paralympics Live,64,5.876944444,2021-08-31,Smart TV,Direct traffic,IH000403366
Tokyo 2020: Canoe,63,20.27277778,2021-09-03,Desktop,Search engines,PI000017123
Tokyo 2020: Today At The Paralympics,61,10.05722222,2021-08-24,Desktop,Direct traffic,IH000403373
Tokyo 2020: Goalball,58,36.62583333,2021-08-27,Desktop,Direct traffic,PI000017076
Tokyo 2020: Cycling - Track,57,0.4761111111,2021-08-25,Tablet,Direct traffic,PI000017065
Tokyo 2020: Today At The Paralympics,57,42.27777778,2021-09-04,Desktop,Search engines,IH000403384
Tokyo 2020,56,8.301111111,2021-08-31,Smartphone,Direct traffic,PI000017107
Tokyo 2020: Today At The Paralympics,56,51.63166667,2021-08-24,Tablet,Direct traffic,IH000403373
Tokyo 2020: Athletics,54,8.2225,2021-09-03,Desktop,Search engines,PI000017120
Tokyo 2020: Paralympics Live,54,14.02611111,2021-08-29,Smart TV,Direct traffic,IH000403364
Tokyo 2020: Swimming,47,16.51777778,2021-08-29,Smartphone,Direct traffic,PI000017091
Tokyo 2020: Paralympics Live,47,11.09944444,2021-09-03,Tablet,Direct traffic,IH000403369
Tokyo 2020: Swimming,47,4.840277778,2021-08-24,Desktop,Direct traffic,PI000017060
Tokyo 2020: Table Tennis,46,8.660555556,2021-08-26,Desktop,Direct traffic,PI000017071
Tokyo 2020: Today At The Paralympics,45,7.026944444,2021-09-03,Desktop,Direct traffic,IH000403383
Tokyo 2020: Wheelchair Basketball,45,18.32583333,2021-09-04,Desktop,Direct traffic,PI000017119
Tokyo 2020: Paralympics Live,44,62.14722222,2021-09-05,Desktop,Search engines,IH000403371
Tokyo 2020: Today At The Paralympics,44,11.37111111,2021-09-02,Desktop,Direct traffic,IH000403382
Tokyo 2020: Cycling,43,0.3080555556,2021-08-27,Desktop,Direct traffic,PI000017076
Tokyo 2020: Paralympics Live,42,0.5355555556,2021-09-04,Smartphone,Direct traffic,IH000403370
Tokyo 2020: Today At The Paralympics,41,40.23083333,2021-09-03,Smartphone,Direct traffic,IH000403383
Tokyo 2020: Today At The Paralympics,39,10.15972222,2021-09-02,Smartphone,Direct traffic,IH000403382
Tokyo 2020: Today At The Paralympics,37,4.059166667,2021-09-03,Tablet,Direct traffic,IH000403383
Tokyo 2020: Table Tennis,36,14.32527778,2021-08-31,Desktop,Direct traffic,PI000017105
Tokyo 2020: Cycling - Road,36,41.56638889,2021-09-02,Desktop,Search engines,PI000017116
Tokyo 2020: Paralympics Live,34,16.05138889,2021-08-27,Smart TV,Direct traffic,IH000403362
Tokyo 2020: Today At The Paralympics,34,10.63277778,2021-08-31,Tablet,Direct traffic,IH000403380
Tokyo 2020: Swimming,34,7.805833333,2021-08-27,Smartphone,Direct traffic,PI000017151
Tokyo 2020: Table Tennis,30,4.128333333,2021-08-25,Smartphone,Direct traffic,PI000017067
Tokyo 2020: Equestrian,29,3.640555556,2021-08-26,Desktop,Direct traffic,PI000017071
Tokyo 2020: Canoe Sprint,29,25.71472222,2021-09-04,Smartphone,Direct traffic,PI000017125
Tokyo 2020: Today At The Paralympics,28,0.2311111111,2021-08-29,Smart TV,Direct traffic,IH000403378
Tokyo 2020: Wheelchair Tennis,28,1.541666667,2021-09-04,Smartphone,Direct traffic,PI000017130
Tokyo 2020: Cycling - Road,26,1.0975,2021-09-03,Tablet,Direct traffic,PI000017122
Tokyo 2020: Paralympics Live,26,15.9175,2021-08-29,Smartphone,Direct traffic,IH000403364
Tokyo 2020: Table Tennis,26,31.03444444,2021-08-26,Smartphone,Direct traffic,PI000017071
Tokyo 2020: Equestrian,25,24.74333333,2021-08-26,Desktop,Direct traffic,PI000017072
Tokyo 2020: Athletics,22,30.52277778,2021-09-01,Desktop,Direct traffic,PI000017114
Tokyo 2020: Athletics,21,1.247222222,2021-09-04,Desktop,Direct traffic,PI000017179
Tokyo 2020: Swimming,21,13.0075,2021-08-29,Smartphone,Direct traffic,PI000017088
Tokyo 2020: Cycling,20,4.165833333,2021-08-28,Desktop,Direct traffic,PI000017083
Tokyo 2020,20,13.40611111,2021-09-02,Smartphone,Direct traffic,PI000017119
Tokyo 2020: Paralympics Live,19,2.151388889,2021-08-25,Smartphone,Direct traffic,IH000403360
Tokyo 2020: Paralympics Live,19,19.42111111,2021-08-30,Smartphone,Search engines,IH000403365
Tokyo 2020,19,29.96083333,2021-09-02,Smartphone,Direct traffic,PI000017108
Tokyo 2020: Paralympics Live,18,16.23638889,2021-08-31,Tablet,Direct traffic,IH000403366
Tokyo 2020: Today At The Paralympics,16,59.35472222,2021-08-25,Tablet,Direct traffic,IH000403374
Tokyo 2020: Today At The Paralympics,16,0.9291666667,2021-08-29,Desktop,Search engines,IH000403378
Tokyo 2020: Today At The Paralympics,16,23.30555556,2021-08-30,Smart TV,Direct traffic,IH000403379
Tokyo 2020: Equestrian,16,0.7911111111,2021-08-26,Desktop,Search engines,PI000017072
Tokyo 2020: Athletics,15,22.05138889,2021-09-04,Smartphone,Search engines,PI000017179
Tokyo 2020: Paralympics Live,15,23.53555556,2021-08-28,Smartphone,Search engines,IH000403363
Tokyo 2020: Today At The Paralympics,14,0.6388888889,2021-08-31,Smart TV,Direct traffic,IH000403380
Tokyo 2020: Today At The Paralympics,14,28.25027778,2021-08-31,Desktop,Direct traffic,IH000403380
Tokyo 2020: Athletics,14,25.74944444,2021-09-04,Tablet,Direct traffic,PI000017179
Tokyo 2020: Cycling - Road,13,22.84361111,2021-09-03,Undefined,-,PI000017122
Tokyo 2020: Canoe,12,10.72666667,2021-09-02,Smartphone,Direct traffic,PI000017161
Tokyo 2020,10,0.2205555556,2021-09-02,Desktop,Search engines,PI000017119
Tokyo 2020: Swimming,9,0.3819444444,2021-08-25,Tablet,Direct traffic,PI000017064
Tokyo 2020: Paralympics Live,8,0.0319444444,2021-09-03,Smart TV,Direct traffic,IH000403369
Tokyo 2020: Paralympics Live,8,4.630833333,2021-09-05,Tablet,Direct traffic,IH000403371
Tokyo 2020: Today At The Paralympics,7,0.1327777778,2021-08-27,Desktop,Direct traffic,IH000403376
Tokyo 2020: Table Tennis,7,5.291666667,2021-09-01,Desktop,Direct traffic,PI000017111
Tokyo 2020: Equestrian,6,0.3863888889,2021-08-30,Desktop,Direct traffic,PI000017100
Tokyo 2020: Athletics,6,0.0247222222,2021-09-04,Smartphone,Direct traffic,PI000017127
Tokyo 2020: Triathlon,6,0.5022222222,2021-08-27,Tablet,Direct traffic,PI000017080
